PartitionKey,RowKey,Timestamp,City,City@type,Country,Country@type,Distance,Distance@type,Email,Email@type,Lat,Lat@type,Lon,Lon@type,Name,Name@type,Phone,Phone@type,Postalcode,Postalcode@type,Street,Street@type,Web,Web@type,Info,Info@type
D,De Bloemenbeek_26e80384-ae9b-4f80-8f40-98ef397eab46,2013-10-13T11:28:12.4744615Z,De Lutte,String,Nederland,String,0,Double,info@bloemenbeek.nl,String,52.320252,Double,6.99838,Double,De Bloemenbeek,String,+31541551224,String,7587 LD,String,Beuningerstraat 6,String,http://www.bloemenbeek.nl,String,,
D,De Bokkedoorns_8319f248-7a5d-4c10-84d6-b6c3b4fe2e28,2013-10-13T11:19:38.6350827Z,Overveen,String,Nederland,String,0,Double,bokkedoorns@alliance.nl,String,52.39822,Double,4.56635,Double,De Bokkedoorns,String,+31235263600,String,2051 EB,String,Zeeweg 53,String,http://www.bokkedoorns.nl/,String,Michelin Ster (2),String
D,De Bokkepruik_38514ec8-4eb9-4a4e-85f6-adceb58e79aa,2013-10-13T11:30:09.4791608Z,Hardenberg,String,Nederland,String,0,Double,bokkepruik@planet.nl,String,52.573959,Double,6.60685,Double,De Bokkepruik,String,+31523261504,String,7771 CH ,String,Hessenweg 7,String,http://www.bokkepruik.nl,String,,
D,De Burgemeester_5140deb9-ab27-4812-84e1-ba4764ac0a8d,2013-10-13T12:13:23.9838739Z,Linschoten           ,String,Nederland,String,0,Double,info@deburgemeester.nl,String,52.062,Double,4.91463,Double,De Burgemeester,String,+31348414040,String,3461 CW ,String,Raadhuisstraat 17,String,http://www.deburgemeester.nl,String,,
D,De Echoput_96c13bbe-abd3-4e95-86fc-f2b213d57e69,2013-10-13T11:31:27.0779199Z,Hoog Soeren,String,Nederland,String,0,Double,reserveringen@echoput.nl,String,52.23283,Double,5.87828,Double,De Echoput,String,+31555191248,String,7346 AA ,String,Amerfoortseweg 86,String,http://www.echoput.nl/,String,,
D,De Gieser Wildeman_7337d739-7d9b-40e6-8108-f4749ec59e3e,2013-10-13T13:16:59.072391Z,Noordeloos,String,Nederland,String,0,Double,info@degieserwildeman.nl,String,51.901741,Double,4.9396,Double,De Gieser Wildeman,String,+31183582501,String,4225 PR ,String,Botersloot 1,String,http://www.degieserwildeman.nl/,String,,
D,De Hoefslag_51ede2fd-72b3-4c69-84f6-c8b85624ec6e,2013-10-13T11:32:38.0340148Z,Bosch en Duin,String,Nederland,String,0,Double,sales@hoefslag.nl,String,52.124271,Double,5.24613,Double,De Hoefslag,String,+31302251051,String,3735 KN ,String,Vossenlaan 28,String,http://www.hoefslag.nl,String,,
D,De Karpendonkse Hoeve_492cf291-a827-4af3-82e5-f829a8a34cd8,2013-10-13T11:34:05.2733384Z,Eindhoven,String,Nederland,String,0,Double,info@karpendonksehoeve.nl,String,51.453621,Double,5.49737,Double,De Karpendonkse Hoeve,String,+31402813663,String,5631 AA  ,String,Sumatralaan 3,String,http://www.karpendonksehoeve.nl,String,,
D,De Kromme Dissel_eae56597-04b9-4224-9734-608d99f724e2,2013-10-13T11:35:29.5493384Z,Heelsum,String,Nederland,String,0,Double,klein-zwitserland@bilderberg.nl,String,51.984329,Double,5.75883,Double,De Kromme Dissel,String,+31317313118,String,6866 DS ,String,Klein Zwitserlandlaan 5,String,http://www.krommedissel.nl,String,,
D,De Leest_7cb280ba-f9ba-43bd-91a5-d48a976b5e08,2013-04-12T11:53:12.8515629Z,Vaassen,String,Nederland,String,0,Double,info@restaurantdeleest.nl,String,52.288189,Double,5.96733,Double,De Leest,String,+31578571382,String,8171VT,String,Kerkweg 1,String,http://www.restaurantdeleest.nl/,String,Michelin Ster (2),String
D,De Leuf_501288bd-2fdc-4b2c-bcb6-25eceb33af59,2013-04-12T18:17:14.8738047Z,Ubachsberg,String,Nederland,String,0,Double,info@rest.deleuf.nl,String,50.852612,Double,5.95216,Double,De Leuf,String,+31455750226,String,6367JS,String,Dalstraat 2,String,http://www.deleuf.nl/,String,Michelin Ster (2),String
D,De Librije_ca037f7f-aa4c-4802-9d71-be32c893b0d2,2013-03-19T07:29:09.8314756Z,Zwolle,String,Nederland,String,0,Double,info@librije.com,String,52.514149,Double,6.09495,Double,De Librije,String,+31384212083,String,8011TW,String,Broerenkerkplein 13-15,String,http://www.librije.com/,String,Michelin Ster (3),String
D,De Lindehof_0aff521e-3d56-403c-abd7-659e67b55d54,2013-10-13T13:20:35.3454759Z,Nuenen,String,Nederland,String,0,Double,info@restaurant-delindehof.nl,String,51.477371,Double,5.5521,Double,De Lindehof,String,+31402837336,String,5671 CS ,String,Beekstraat 1,String,http://www.restaurant-delindehof.nl/,String,,
D,De Lindenhof_55849970-f956-4165-ba40-281091620a69,2013-03-19T20:29:14.2777347Z,Giethoorn,String,Nederland,String,0,Double,info@restaurantDeLindenhof.nl,String,52.746368,Double,6.07985,Double,De Lindenhof,String,+31521361444,String,8355AC,String,Beulakerweg 77,String,http://restaurantdelindenhof.nl,String,Michelin Ster (2),String
D,De Molen_c9bd98f5-19b3-4f8d-a785-6b1517774280,2013-10-13T14:24:35.8647512Z,Kaatsheuvel,String,Nederland,String,0,Double,info@restaurantdemolen.nl,String,51.661179,Double,5.05299,Double,De Molen,String,+31416530230,String,5171 JG  ,String,Vaartstraat 102,String,http://www.restaurantdemolen.nl/,String,Michelin Ster,String
D,De Nederlanden_af863083-b97e-4326-b55c-902156bd79e7,2013-10-13T13:50:46.6391114Z,Vreeland,String,Nederland,String,0,Double,info@nederlanden.nl,String,52.2295,Double,5.03261,Double,De Nederlanden,String,+31294232326,String,3633 EM ,String,Duinkerken 3,String,http://www.nederlanden.nl,String,,
D,De Schans_eff4affe-97bd-4b67-b7c1-b3cae326fb7c,2013-03-19T07:29:20.2125136Z,Montfoort,String,Nederland,String,0,Double,info@restdeschans.nl,String,52.023628,Double,4.90793,Double,De Schans,String,+31348562309,String,3417MC,String,Willeskop 87,String,http://www.restdeschans.nl,String,Michelin Bib Gourmand,String
D,De Treeswijkhoeve_aecbeaf1-6225-4f55-9e37-e63c39a0d0e1,2013-04-12T18:21:27.1898047Z,Waalre,String,Nederland,String,0,Double,info@treeswijkhoeve.nl,String,51.372742,Double,5.4671,Double,De Treeswijkhoeve,String,+31402215593,String,5582VB,String,Valkenswaardseweg 14,String,http://www.treeswijkhoeve.nl,String,Michelin Ster (2),String
D,De Vlindertuin_98f95e7d-0097-4928-b3f4-e03fd6a69a02,2013-10-13T14:10:34.2994103Z,Zuidlaren ,String,Nederland,String,0,Double,info@restaurant-devlindertuin.nl ,String,51.82655,Double,4.25814,Double,De Vlindertuin,String,+31504094531,String,9471 GK ,String,Stationsweg 41,String,http://www.restaurant-devlindertuin.nl/,String,,
D,De Wanne_24abd535-1265-470d-8cff-5537701c5db6,2013-10-13T13:22:09.2231422Z,Ootmarsum,String,Nederland,String,0,Double,info@wiemsel.nl,String,52.40757,Double,6.91128,Double,De Wanne,String,+31541292155,String,7631 HX ,String,Winhofflaan 2,String,http://www.wanne.nl/,String,,
D,De Zwaan_b91cd1ab-33ca-43d1-97d3-07871cef6e40,2013-10-13T11:43:42.7803384Z,Etten-Leur,String,Nederland,String,0,Double,info@restaurant-dezwaan.nl,String,51.56995,Double,4.63559,Double,De Zwaan,String,+31765012696,String,4875 CB,String,Markt 7,String,http://www.restaurant-dezwaan.nl,String,,
D,De Zwetheul_8f6a5e4d-5cc2-4e74-9302-80896f867e79,2013-04-14T13:31:00.581539Z,Schipluiden,String,Nederland,String,0,Double,info@zwethheul.nl,String,51.962929,Double,4.39359,Double,De Zwetheul,String,+31104704166,String,2636KB,String,Rotterdamseweg 480,String,http://www.zwethheul.nl,String,Michelin Ster (2),String
D,De groene lantaarn_328faa38-5a15-47c4-bec8-306435be4ad5,2013-10-13T14:12:26.3571853Z,Zuidwolde,String,Nederland,String,0,Double,info@degroenelantaarn.com,String,52.696678,Double,6.43388,Double,De groene lantaarn,String,+31528372938,String,7921 PC,String,Hoogeveenseweg 17,String,http://degroenelantaarn.com/,String,,
D,De heer Kocken_22b29548-7764-443e-8d30-83c316d906f6,2013-10-13T13:52:36.5923055Z,Vught ,String,Nederland,String,0,Double,info@deheerkocken.nl,String,51.660549,Double,5.29938,Double,De heer Kocken,String,+31736569494,String,5261 BD ,String,Taalstraat 173,String,http://www.deheerkocken.nl/,String,,
D,De kromme watergang_e1111a5b-3661-4324-96f5-7f8293747c7b,2013-03-19T09:01:35.4815068Z,Hoofdplaat,String,Nederland,String,0,Double,info@krommewatergang.nl,String,51.377319,Double,3.6029,Double,De kromme watergang,String,+31117348696,String,4513KK,String,Slijkplaat 6,String,http://www.krommewatergang.nl/,String,Michelin Ster (2),String
D,De moerbei_e6340917-eb90-44c9-ab68-15a020080f7a,2013-10-13T13:56:49.472391Z,Warmond,String,Nederland,String,0,Double,info@DeMoerbeiWarmond.nl,String,51.487085,Double,5.616147,Double,De moerbei,String,+31715156898,String,2361 AK ,String,Dorpstraat 5a,String,http://www.demoerbeiwarmond.nl,String,,
D,De saffraan_d08dffe6-9f8b-4aef-8836-61f5d8c3d618,2013-04-14T13:32:34.020882Z,Amersfoort,String,Nederland,String,0,Double,info@desaffraan.nl,String,52.160511,Double,5.38254,Double,De saffraan,String,+31334481753 ,String,3812PG,String,Kleine Koppel 3,String,http://www.desaffraan.nl/,String,,
D,De vrienden van Jacob_f72ac5e0-c774-4aef-9bdb-668cfe31fc23,2013-10-13T13:37:20.9771353Z,Santpoort-Noord,String,Nederland,String,0,Double,info@devriendenvanjacob.nl,String,52.43519,Double,4.62726,Double,De vrienden van Jacob,String,+31235121800,String,2071 LE ,String,Duin en Kruidbergerweg 60,String,http://www.devriendenvanjacob.nl/,String,,
F,FG_bb4cbbb7-0e22-4b77-b6ad-3808722c07dd,2013-10-13T13:31:48.8558407Z,Rotterdam,String,Nederland,String,0,Double,info@fgrestaurant.nl,String,51.90255,Double,4.4612,Double,FG,String,+31104250520,String,3024 EA ,String,Lloydstraat 204,String,http://www.fgrestaurant.nl/,String,,
F,Fred_3a7e71a1-1cf5-464d-ba51-336e6d075fbd,2013-10-13T13:33:42.5336989Z,Rotterdam,String,Nederland,String,0,Double,info@restaurantfred.nl,String,51.917149,Double,4.51771,Double,Fred,String,+31102120110,String,3063 AM ,String,Honingerdijk 263-265,String,http://www.restaurantfred.nl/,String,,
G,Goeie Lousia_25b8eeab-9c24-41de-87e8-7fc3fce854e5,2013-03-19T20:30:52.6315691Z,Utrecht,String,Nederland,String,0,Double,brasserie@karelv.nl ,String,52.087509,Double,5.11865,Double,Goeie Lousia,String,+31302337595,String,3511XA,String,Geertebolwerk 1,String,http://www.goeielouisa.nl,String,Michelin Bib Gourmand,String
H,HanTing Cuisine_50d00ffc-e0dd-4270-b884-7832b988c66f,2013-10-13T11:42:20.7163384Z,Den Haag,String,Nederland,String,0,Double,info@hantingcuisine.nl ,String,52.078709,Double,4.306,Double,HanTing Cuisine,String,+31703620828,String,2513 CA,String,Prinsestraat 33,String,http://www.hantingcuisine.nl/,String,,
H,Hermitage_378526ec-3463-4099-b7d8-968f996e0d6e,2013-10-13T13:26:38.0182099Z,Rijsoord ,String,Nederland,String,0,Double,hermitage@alliance.nl,String,51.851872,Double,4.59274,Double,Hermitage,String,+31180420996,String,2988 BB,String,Rijksstraatweg 67,String,http://www.restaurant-hermitage.nl/,String,,
H,Het koetshuis_3dd4f9fe-db88-4bdb-b30a-f8287bb9adab,2013-04-14T13:34:16.0470836Z,Bennekom,String,Nederland,String,0,Double,info@hetkoetshuis.nl,String,52.007999,Double,5.7223,Double,Het koetshuis,String,+31318417370,String,6721MK,String,Panoramaweg 23a,String,http://www.hetkoetshuis.nl,String,Michelin Ster,String
I,Inter Scaldes_66114d04-cf69-4043-9a26-3760cc091960,2013-03-19T20:31:49.4432497Z,Kruiningen,String,Nederland,String,0,Double,info@interscaldes.nl ,String,51.457069,Double,4.02256,Double,Inter Scaldes,String,+31113381753,String,4416 NA,String,Zandweg 2,String,http://www.interscaldes.eu,String,Michelin Ster (2),String
K,Kaagjesland_4da55ea5-31e6-4040-8187-6abda78d9541,2013-10-13T13:25:11.3639403Z,Reeuwijk ,String,Nederland,String,0,Double,info@kaagjesland.nl ,String,52.056721,Double,4.6834,Double,Kaagjesland,String,+31182396421,String,2811 KL ,String,Kaagjesland 60,String,http://www.kaagjesland.nl/,String,,
K,Kaatje bij de sluis_40402b36-2935-49ff-a1d0-5f71811f0188,2013-04-14T13:35:59.9994778Z,Blokzijl,String,Nederland,String,0,Double,info@kaatje.nl,String,52.726502,Double,5.96087,Double,Kaatje bij de sluis,String,+31527291833,String,8356DV,String,Brouwerstraat 20,String,http://www.kaatje.nl/,String,Michelin Ster,String
K,Karel V_0c13c5c6-f0b6-48b3-8abe-a94f1b9a6acd,2013-03-19T15:57:14.7409442Z,Utrecht,String,Nederland,String,0,Double,info@karelv.nl,String,52.087509,Double,5.11865,Double,Karel V,String,+31302337555,String,3511XA,String,Geertebolwerk 1,String,http://www.karelv.nl,String,Michelin Ster,String
K,Kasteel Heemstede_9d07efae-1e20-41da-bf9f-242b0c332b55,2013-10-13T11:36:53.7913384Z,Houten,String,Nederland,String,0,Double,info@restaurant-kasteelheemstede.nl,String,52.03249,Double,5.12501,Double,Kasteel Heemstede,String,+31302722207,String,3992 LS ,String,Heemsteedseweg 20,String,http://www.restaurant-kasteelheemstede.nl/,String,,
K,Katseveer_918fefa8-531d-4ad3-8074-3f2a5a3d97e6,2013-10-13T14:07:07.1206641Z,Wilhelminadorp,String,Nederland,String,0,Double,info@katseveer.nl,String,51.540387,Double,3.866247,Double,Katseveer,String,+31113227955,String,4475 PB,String,Katseveerseweg 2,String,http://www.katseveer.nl/,String,,
K,Koriander_30a2322c-eb25-434c-afa2-27b73b0746e2,2013-10-13T11:38:36.8133384Z,Drachten,String,Nederland,String,0,Double,info@dekoriander.nl,String,53.103432,Double,6.09851,Double,Koriander,String,+31512548850,String,9203 KK ,String,Burgemeester Wuiteweg 18,String,http://www.dekoriander.nl,String,,
L,La Provence_23d4204f-b5dd-49f2-9bb5-e85b13ab0158,2013-10-13T11:41:03.6613384Z,Driebergen,String,Nederland,String,0,Double,info@restaurantlaprovence.nl,String,52.052319,Double,5.28182,Double,La Provence,String,+31343512920,String,3971 KG,String,Hoofdstraat 109,String,http://www.restaurantlaprovence.nl/,String,,
L,La Trinité_a451f158-c054-4ed0-b0f1-a6767b3d51dd,2013-10-13T13:42:53.476951Z,Sluis,String,Nederland,String,0,Double,info@latrinite.nl ,String,51.308659,Double,3.38442,Double,La Trinité,String,+31117462040,String,4524 CL ,String,Kaai 11,String,http://www.latrinite.nl/,String,,
L,La rive_e792a90b-f8a6-4602-9b12-129297f76c07,2013-04-14T13:37:57.5982365Z,Amsterdam,String,Nederland,String,0,Double,larive@ihg.com,String,52.359982,Double,4.90524,Double,La rive,String,+31205203264,String,1018GX,String,Professor Tulpplein 1,String,http://www.restaurantlarive.nl/,String,,
L,Lakes_e4ee0182-f7d6-4aa6-b75f-5ce297abf928,2013-10-13T11:45:39.7723384Z,Hilversum,String,Nederland,String,0,Double,info@restaurantlakes.nl,String,52.22089,Double,5.14214,Double,Lakes,String,+31355779996,String,1216 CH ,String,Vreelandseweg 50,String,http://www.restaurantlakes.nl/,String,,
L,Lastage_9bcf2286-e7e6-4500-bb6d-384f5a7cadb9,2013-04-14T13:55:26.2710933Z,Amsterdam,String,Nederland,String,0,Double,info@restaurantlastage.nl,String,52.375439,Double,4.90237,Double,Lastage,String,+31207370811,String,1011EJ,String,Geldersekade 29,String,http://www.restaurantlastage.nl,String,Michelin Ster,String
L,Latour_0d4f9a6c-e7bf-48cb-94ac-5d7e57da0677,2013-10-13T13:18:55.8537747Z,Noordwijk,String,Nederland,String,0,Double,info@restaurantlatour.nl,String,52.241901,Double,4.4287,Double,Latour,String,+31713651239,String,2202 BK  ,String,Koningin Astrid Boulevard 5,String,http://www.restaurantlatour.nl/,String,,
L,Le Marron_33d7f7e8-923f-4af3-bb2c-e62576929c91,2013-10-13T13:11:46.1488212Z,Malden ,String,Nederland,String,0,Double,info@restaurantlemarron.nl,String,51.782749,Double,5.84817,Double,Le Marron,String,+31243572705,String,6581 AL  ,String,Raadhuisstraat 3,String,http://www.restaurantlemarron.nl,String,,
L,Le restaurant_35d5062c-cf50-4bdb-bbb3-527a9cc5d321,2013-04-14T13:42:52.802754Z,Amsterdam,String,Nederland,String,0,Double,info@lerestaurant.nl,String,52.355713,Double,4.898406,Double,Le restaurant,String,+31203792207,String,1073VK,String,Tweede Jan-Steenstraat 3,String,http://www.lerestaurant.nl,String,Michelin Ster,String
L,Librije's zusje_982c4837-012a-47de-ace9-b72407852ed1,2013-04-14T13:48:54.1758877Z,Zwolle,String,Nederland,String,0,Double,info@librijeszusje.nl,String,52.515362,Double,6.09783,Double,Librije's zusje,String,+31388530001,String,8011ZZ,String,Spinhuisplein 1,String,http://www.librijeszusje.nl,String,Michelin Ster (2),String
M,ML_e02f3a6e-a98d-4329-b6ac-a5f4573d93b1,2013-10-13T11:47:01.5993384Z,Haarlem,String,Nederland,String,0,Double,info@restaurant-ml.nl,String,52.379059,Double,4.63664,Double,ML,String,+31235345343,String,2011 DR,String,Kleine Houtstraat 70,String,http://www.restaurant-ml.nl,String,,
M,Merlet_6b5d4cae-86b3-40e5-8785-196ef05776e9,2013-10-13T13:38:58.1847467Z,Schoorl,String,Nederland,String,0,Double,info@merlet.nl,String,52.699558,Double,4.69408,Double,Merlet,String,+31725093644,String,1871 AC ,String,Duinweg 15,String,http://www.merlet.nl/,String,,
M,Mijn keuken_cda477f9-2ffc-4423-b939-398abc081fe2,2013-10-13T14:08:41.9785807Z,Wouw,String,Nederland,String,0,Double,info@mijnkeuken.com,String,51.522141,Double,4.38786,Double,Mijn keuken,String,+31165302208,String,4724 BK,String,Markt 1,String,http://www.mijnkeuken.com/,String,,
N,Niven_c73a5d22-919a-4a26-9287-ea9eec610dac,2013-10-13T13:28:17.7981715Z,Rijswijk ,String,Nederland,String,0,Double,info@restaurantniven.nl,String,52.036949,Double,4.34572,Double,Niven,String,+31703077970,String,2289 AL ,String,Delftweg 58a,String,http://www.restaurantniven.nl/,String,,
O,O Mundo_1d84ecec-632d-4f9f-8917-ca96ce08f7a3,2013-10-13T13:55:04.1675586Z,Wageningen,String,Nederland,String,0,Double,info@hoteldewereld.nl,String,51.967388,Double,5.66767,Double,O Mundo,String,+31317460444,String,6703 CD,String,5 Mei Plein 1,String,http://www.hoteldewereld.nl/,String,,
O,Onder de linden_4c195d92-f911-4ae9-99f1-2bbe76fe6080,2013-04-14T13:51:50.3895073Z,Aduard,String,Nederland,String,0,Double,info@slenema.nl,String,53.258339,Double,6.45755,Double,Onder de linden,String,+31504031406,String,9831RD,String,Burgemeester Van Barneveldweg 3,String,http://www.slenema.nl,String,Michelin Ster,String
O,One_44eb5b13-cd97-422b-8189-16077f2000ff,2013-10-13T13:30:11.0226772Z,Roermond ,String,Nederland,String,0,Double,info@restaurantone.nl,String,51.189659,Double,5.9816,Double,One,String,+31475600262,String,6041 MA ,String,ECI 17,String,http://www.restaurantone.nl/,String,,
O,Oud sluis_7c5eee72-b1b7-4138-a469-a2967d420280,2013-03-19T20:32:34.8017851Z,Sluis,String,Nederland,String,0,Double,contact@oudsluis.nl,String,51.307091,Double,3.38745,Double,Oud sluis,String,+31117461269,String,4524EA,String,Beestenmarkt 2,String,http://www.sergioherman.com/oudsluis,String,Michelin Ster (3),String
P,Parkheuvel_254a58a4-62bf-41e4-8b49-f4f4b14ac398,2013-04-12T11:30:59.0075629Z,Rotterdam,String,Nederland,String,0,Double,info@parkheuvel.nl,String,51.903912,Double,4.47155,Double,Parkheuvel,String,+31104360530,String,3016 GL,String,Heuvellaan 21,String,http://www.parkheuvel.nl/,String,Michelin Ster (2),String
